,securityName,secId,performanceId,holdingTypeId,weighting,numberOfShare,marketValue,shareChange,country,ticker,totalReturn1Year,forwardPERatio,stockRating,assessment,economicMoat,sector,sectorCode,holdingTrend,holdingType,isin,cusip,secondarySectorId,superSectorName,primarySectorName,secondarySectorName,firstBoughtDate,maturityDate,coupon,currency,localCurrencyCode,prospectusNetExpenseRatio,oneYearReturn,morningstarRating,ePUsedForOverallRating,analystRating,medalistRating,medalistRatingLabel,overallRatingPublishDateUtc,totalAssets,ttmYield,epUsedFor1YearReturn,morningstarCategory,totalAssetsMagnitude,lastTurnoverRatio,susEsgRiskScore,susEsgRiskGlobes,esgAsOfDate,susEsgRiskCategory,managementExpenseRatio,qualRating,quantRating,bestRatingType,securityType,domicileCountryId,currencyName,originalMarketValue,isMomentumFilterFlag
10,Wesfarmers Ltd,0P00006X1T,0P00006X1T,E,1.68302,608210.0,33445831.0,3664.0,Australia,WES,12.8418,32.6797,1,Overvalued,Wide,Consumer Cyclical,consumerCyclical,"{'trend': [34588873.0, 36460470.0, 36868995.0, 33445831.0]}",Equity,AU000000WES1,,,,,,2014-12-31T06:00:00.000,,,AUD,,,,,0,,,,,,,0,,,,13.9352,4.0,2025-12-03T06:00:00.000,Low,,,1,Qual,ST,AUS,Australian Dollar,33445831.07,False
11,CSL Ltd,0P00006WCJ,0P00006WCJ,E,1.53259,260635.0,30456508.0,1584.0,Australia,CSL,-32.2938,25.974,5,Undervalued,Narrow,Healthcare,healthcare,"{'trend': [46821548.0, 36236545.0, 34028173.0, 30456508.0]}",Equity,AU000000CSL8,,,,,,2013-05-31T05:00:00.000,,,AUD,,,,,0,,,,,,,0,,,,25.0256,3.0,2025-12-03T06:00:00.000,Medium,,,3,Qual,ST,AUS,Australian Dollar,30456507.84,True
12,Macquarie Group Ltd,0P00006WOC,0P00006WOC,E,1.32888,184569.0,26408187.0,1116.0,Australia,MQG,-7.6695,17.094,3,Fairly Valued,Narrow,Financial Services,financialService,"{'trend': [26600538.0, 27128534.0, 26666902.0, 26408187.0]}",Equity,AU000000MQG1,,,,,,2014-01-31T06:00:00.000,,,AUD,,,,,0,,,,,,,0,,,,19.8524,4.0,2025-12-03T06:00:00.000,Low,,,4,Qual,ST,AUS,Australian Dollar,26408187.24,False
13,Samsung Electronics Co Ltd Participating Preferred,0P0000D5B8,0P0000D5B8,E,1.3056,437987.0,25945677.0,2728.0,South Korea,005935,80.6137,7.5586,1,Overvalued,None,Technology,technology,"{'trend': [18732917.0, 17795708.0, 20598837.0, 25945677.0]}",Equity,KR7005931001,,304011,corporate,Preferred,Technology,2017-10-31T05:00:00.000,,,KRW,,,,,0,,,,,,,0,,,,12.7256,4.0,2025-12-03T06:00:00.000,Low,,,1,Quan,ST,KOR,South Korean Won,25945676.65,False
14,Goodman Group,0P0000A13L,0P0000A13L,ER,1.16329,1069114.0,23117546.0,6432.0,Australia,GMG,-20.1396,22.8311,3,Fairly Valued,Narrow,Real Estate,realEstate,"{'trend': [24947304.0, 23981312.0, 23086707.0, 23117546.0]}",Equity,AU000000GMG2,,,,,,2019-10-31T05:00:00.000,,,AUD,,,,,0,,,,,,,0,,,,11.3619,4.0,2025-12-03T06:00:00.000,Low,,,3,Qual,ST,AUS,Australian Dollar,23117546.49,False
15,Oversea-Chinese Banking Corp Ltd,0P0000A68H,0P0000A68H,E,1.15271,1750598.0,22907283.0,10800.0,Singapore,O39,20.1191,11.4943,3,Fairly Valued,Narrow,Financial Services,financialService,"{'trend': [23424353.0, 22796644.0, 22186068.0, 22907283.0]}",Equity,SG1S04926220,,,,,,2013-05-31T05:00:00.000,,,SGD,,,,,0,,,,,,,0,,,,20.1794,3.0,2025-12-03T06:00:00.000,Medium,,,3,Qual,ST,SGP,Singapore Dollar,22907283.37,False
16,United Overseas Bank Ltd,0P0000A692,0P0000A692,E,0.89198,665400.0,17725935.0,4000.0,Singapore,U11,-0.698,10.2669,4,Undervalued,Narrow,Financial Services,financialService,"{'trend': [19133403.0, 18217613.0, 17740624.0, 17725935.0]}",Equity,SG1M31001969,,,,,,2013-05-31T05:00:00.000,,,SGD,,,,,0,,,,,,,0,,,,14.8175,4.0,2025-12-03T06:00:00.000,Low,,,3,Qual,ST,SGP,Singapore Dollar,17725934.92,False
17,Rio Tinto Ltd,0P00006WVI,0P00006WVI,E,0.87166,199142.0,17322036.0,1196.0,Australia,RIO,20.2843,20.202,2,Overvalued,None,Basic Materials,basicMaterials,"{'trend': [14743198.0, 15007705.0, 16008958.0, 17322036.0]}",Equity,AU000000RIO1,,,,,,2013-05-31T05:00:00.000,,,AUD,,,,,0,,,,,,,0,,,,20.9612,3.0,2025-12-03T06:00:00.000,Medium,,,3,Qual,ST,AUS,Australian Dollar,17322036.48,False
18,Woodside Energy Group Ltd,0P00006X25,0P00006X25,E,0.83382,1020617.0,16570043.0,6116.0,Australia,WDS,11.0043,16.7224,5,Undervalued,None,Energy,energy,"{'trend': [18002454.0, 17609409.0, 15484462.0, 16570043.0]}",Equity,AU0000224040,,,,,,2013-05-31T05:00:00.000,,,AUD,,,,,0,,,,,,,0,,,,35.5496,2.0,2025-12-03T06:00:00.000,High,,,5,Qual,ST,AUS,Australian Dollar,16570042.72,False
19,Transurban Group,0P00006X04,0P00006X04,E,0.79712,1671090.0,15840816.0,10416.0,Australia,TCL,19.0662,285.7143,3,Fairly Valued,Wide,Industrials,industrials,"{'trend': [15303486.0, 15892112.0, 15188441.0, 15840816.0]}",Equity,AU000000TCL6,,,,,,2013-05-31T05:00:00.000,,,AUD,,,,,0,,,,,,,0,,,,7.6725,5.0,2025-12-03T06:00:00.000,Negligible,,,3,Qual,ST,AUS,Australian Dollar,15840816.08,False
20,KB Financial Group Inc,0P0000JD8O,0P0000JD8O,E,0.79226,192381.0,15744253.0,1160.0,South Korea,105560,49.0414,,3,Fairly Valued,,Financial Services,financialService,"{'trend': [16270345.0, 15340157.0, 15741439.0, 15744253.0]}",Equity,KR7105560007,,,,,,2013-05-31T05:00:00.000,,,KRW,,,,,0,,,,,,,0,,,,13.9012,4.0,2025-12-03T06:00:00.000,Low,,,3,Quan,ST,KOR,South Korean Won,15744253.1,False
21,NAVER Corp,0P0000B3R9,0P0000B3R9,E,0.76043,80487.0,15111614.0,500.0,South Korea,035420,18.0914,20.202,3,Fairly Valued,Narrow,Communication Services,communicationsServices,"{'trend': [14057806.0, 12397259.0, 15307016.0, 15111614.0]}",Equity,KR7035420009,,,,,,2014-01-31T06:00:00.000,,,KRW,,,,,0,,,,,,,0,,,,13.7328,4.0,2025-12-03T06:00:00.000,Low,,,4,Qual,ST,KOR,South Korean Won,15111614.32,False
22,Doosan Enerbility Co Ltd,0P0000AKMN,0P0000AKMN,E,0.74592,238101.0,14823344.0,1484.0,South Korea,034020,346.9994,,1,Overvalued,,Industrials,industrials,"{'trend': [11604786.0, 10545874.0, 10574025.0, 14823344.0]}",Equity,KR7034020008,,,,,,2013-05-31T05:00:00.000,,,KRW,,,,,0,,,,,,,0,,,,34.19,2.0,2025-12-03T06:00:00.000,High,,,1,Quan,ST,KOR,South Korean Won,14823343.53,False
23,Hyundai Motor Co,0P0000CBHC,0P0000CBHC,E,0.72811,71087.0,14469367.0,420.0,South Korea,005380,48.9362,6.7204,5,Undervalued,,Consumer Cyclical,consumerCyclical,"{'trend': [11661397.0, 11660435.0, 10828841.0, 14469367.0]}",Equity,KR7005380001,,,,,,2013-05-31T05:00:00.000,,,KRW,,,,,0,,,,,,,0,,,,18.5689,4.0,2025-12-03T06:00:00.000,Low,,,5,Quan,ST,KOR,South Korean Won,14469366.56,False
24,Singapore Telecommunications Ltd,0P0000A69D,0P0000A69D,E,0.63448,3861100.0,12608763.0,24000.0,Singapore,Z74,57.2078,23.31,2,Overvalued,None,Communication Services,communicationsServices,"{'trend': [11894061.0, 12935711.0, 12292292.0, 12608763.0]}",Equity,SG1T75931496,,,,,,2020-12-31T06:00:00.000,,,SGD,,,,,0,,,,,,,0,,,,19.3504,4.0,2025-12-03T06:00:00.000,Low,,,2,Qual,ST,SGP,Singapore Dollar,12608763.3,False
25,Hanwha Aerospace Co Ltd,0P0000ANC2,0P0000ANC2,E,0.63321,18313.0,12583560.0,112.0,South Korea,,,,,,,,,"{'trend': [13009478.0, 11158652.0, 14360505.0, 12583560.0]}",Equity,KR7012450003,,,,,,2013-05-31T05:00:00.000,,,KRW,,,,,0,,,,,,,0,,,,37.9672,2.0,2025-12-03T06:00:00.000,High,,,,,ST,KOR,South Korean Won,12583559.92,
26,Northern Star Resources Ltd,0P00006Y45,0P00006Y45,E,0.62526,771251.0,12425575.0,4820.0,Australia,NST,66.4478,18.3486,1,Overvalued,None,Basic Materials,basicMaterials,"{'trend': [7962554.0, 9510576.0, 12053704.0, 12425575.0]}",Equity,AU000000NST8,,,,,,2019-03-31T05:00:00.000,,,AUD,,,,,0,,,,,,,0,,,,32.7922,2.0,2025-12-03T06:00:00.000,High,,,2,Qual,ST,AUS,Australian Dollar,12425575.23,False
27,Aristocrat Leisure Ltd,0P00006W8X,0P00006W8X,E,0.62428,299144.0,12406122.0,1772.0,Australia,ALL,-14.6959,22.0264,4,Undervalued,Wide,Consumer Cyclical,consumerCyclical,"{'trend': [13895470.0, 14197658.0, 13791888.0, 12406122.0]}",Equity,AU000000ALL7,,,,,,2013-05-31T05:00:00.000,,,AUD,,,,,0,,,,,,,0,,,,19.3062,4.0,2025-12-03T06:00:00.000,Low,,,3,Qual,ST,AUS,Australian Dollar,12406122.5,False
28,Woolworths Group Ltd,0P00006X26,0P00006X26,E,0.61393,655981.0,12200332.0,4152.0,Australia,WOW,0.2639,23.1481,4,Undervalued,Wide,Consumer Defensive,consumerDefensive,"{'trend': [13697046.0, 12328844.0, 11534391.0, 12200332.0]}",Equity,AU000000WOW2,,,,,,2013-05-31T05:00:00.000,,,AUD,,,,,0,,,,,,,0,,,,20.1242,3.0,2025-12-03T06:00:00.000,Medium,,,3,Qual,ST,AUS,Australian Dollar,12200331.85,False
29,Brambles Ltd,0P0000A1L5,0P0000A1L5,E,0.60378,737268.0,11998740.0,4584.0,Australia,BXB,22.8528,25.3165,3,Fairly Valued,Wide,Industrials,industrials,"{'trend': [11678909.0, 12485054.0, 12042540.0, 11998740.0]}",Equity,AU000000BXB1,,,,,,2013-05-31T05:00:00.000,,,AUD,,,,,0,,,,,,,0,,,,12.2629,4.0,2025-12-03T06:00:00.000,Low,,,2,Qual,ST,AUS,Australian Dollar,11998740.43,False
30,Fortescue Ltd,0P00006WI4,0P00006WI4,E,0.59954,854842.0,11914358.0,5360.0,Australia,FMG,19.09,16.2602,2,Overvalued,None,Basic Materials,basicMaterials,"{'trend': [10065671.0, 10768752.0, 10516731.0, 11914358.0]}",Equity,AU000000FMG4,,,,,,2013-05-31T05:00:00.000,,,AUD,,,,,0,,,,,,,0,,,,25.6861,3.0,2025-12-03T06:00:00.000,Medium,,,3,Qual,ST,AUS,Australian Dollar,11914358.47,False
31,Shinhan Financial Group Co Ltd,0P0000B09Y,0P0000B09Y,E,0.58064,224283.0,11538827.0,1340.0,South Korea,055550,58.004,,3,Fairly Valued,,Financial Services,financialService,"{'trend': [11897254.0, 11040432.0, 11250037.0, 11538827.0]}",Equity,KR7055550008,,,,,,2013-05-31T05:00:00.000,,,KRW,,,,,0,,,,,,,0,,,,23.6708,3.0,2025-12-03T06:00:00.000,Medium,,,3,Quan,ST,KOR,South Korean Won,11538827.09,False
32,Kia Corp,0P0000C6A6,0P0000C6A6,E,0.54983,129839.0,10926616.0,816.0,South Korea,000270,36.1111,5.8754,5,Undervalued,,Consumer Cyclical,consumerCyclical,"{'trend': [9866624.0, 9863505.0, 9260266.0, 10926616.0]}",Equity,KR7000270009,,,,,,2013-05-31T05:00:00.000,,,KRW,,,,,0,,,,,,,0,,,,20.5362,3.0,2025-12-03T06:00:00.000,Medium,,,5,Quan,ST,KOR,South Korean Won,10926615.97,False
33,QBE Insurance Group Ltd,0P00006WU7,0P00006WU7,E,0.53272,815080.0,10586467.0,5072.0,Australia,QBE,6.0574,17.2117,2,Overvalued,None,Financial Services,financialService,"{'trend': [12534054.0, 11515755.0, 11053387.0, 10586467.0]}",Equity,AU000000QBE9,,,,,,2013-05-31T05:00:00.000,,,AUD,,,,,0,,,,,,,0,,,,12.7198,4.0,2025-12-03T06:00:00.000,Low,,,2,Qual,ST,AUS,Australian Dollar,10586467.14,False
34,Coles Group Ltd,0P0001F3YF,0P0001F3YF,E,0.52297,719963.0,10392689.0,4472.0,Australia,COL,19.6381,23.5294,1,Overvalued,None,Consumer Defensive,consumerDefensive,"{'trend': [9910555.0, 11220060.0, 11043923.0, 10392689.0]}",Equity,AU0000030678,,,,,,2018-11-30T06:00:00.000,,,AUD,,,,,0,,,,,,,0,,,,19.2701,4.0,2025-12-03T06:00:00.000,Low,,,1,Qual,ST,AUS,Australian Dollar,10392688.76,False
35,Celltrion Inc,0P0000BE98,0P0000BE98,E,0.49375,79612.0,9812155.0,528.0,South Korea,068270,10.7277,37.7358,3,Fairly Valued,,Healthcare,healthcare,"{'trend': [10571844.0, 9576196.0, 9773825.0, 9812155.0]}",Equity,KR7068270008,,,,,,2013-05-31T05:00:00.000,,,KRW,,,,,0,,,,,,,0,,,,20.4329,3.0,2025-12-03T06:00:00.000,Medium,,,3,Quan,ST,KOR,South Korean Won,9812154.55,False
36,CK Hutchison Holdings Ltd,0P00009ROZ,0P00009ROZ,E,0.47893,1436352.0,9517528.0,8000.0,Hong Kong,00001,34.3217,5.8445,4,Undervalued,None,Industrials,industrials,"{'trend': [9722470.0, 9454431.0, 9408647.0, 9517528.0]}",Equity,KYG217651051,,,,,,2013-05-31T05:00:00.000,,,HKD,,,,,0,,,,,,,0,,,,34.9771,2.0,2025-12-03T06:00:00.000,High,,,5,Qual,ST,CYM,Hong Kong Dollar,9517527.6,False
37,BOC Hong Kong Holdings Ltd,0P00009S9Y,0P00009S9Y,E,0.47869,1936500.0,9512824.0,12000.0,China,02388,59.4032,10.142,3,Fairly Valued,None,Financial Services,financialService,"{'trend': [8986885.0, 8726108.0, 9038254.0, 9512824.0]}",Equity,HK2388011192,,,,,,2013-05-31T05:00:00.000,,,HKD,,,,,0,,,,,,,0,,,,16.7403,4.0,2025-12-03T06:00:00.000,Low,,,3,Qual,ST,HKG,Hong Kong Dollar,9512823.91,False
38,Sun Hung Kai Properties Ltd,0P00009RPC,0P00009RPC,E,0.45863,750000.0,9114215.0,4000.0,Hong Kong,00016,34.202,11.976,3,Fairly Valued,None,Real Estate,realEstate,"{'trend': [9230892.0, 8806506.0, 8936199.0, 9114215.0]}",Equity,HK0016000132,,,,,,2018-03-31T05:00:00.000,,,HKD,,,,,0,,,,,,,0,,,,15.1609,4.0,2025-12-03T06:00:00.000,Low,,,3,Qual,ST,HKG,Hong Kong Dollar,9114214.77,False
39,Techtronic Industries Co Ltd,0P00009S1D,0P00009S1D,E,0.45237,769500.0,8989810.0,4000.0,Hong Kong,00669,-9.4934,15.1057,3,Fairly Valued,,Industrials,industrials,"{'trend': [9526102.0, 9884362.0, 9794551.0, 8989810.0]}",Equity,HK0669013440,,,,,,2016-05-31T05:00:00.000,,,HKD,,,,,0,,,,,,,0,,,,25.9321,3.0,2025-12-03T06:00:00.000,Medium,,,3,Quan,ST,HKG,Hong Kong Dollar,8989809.84,True
40,SK Square,0P0001NYOB,0P0001NYOB,E,0.44395,48345.0,8822390.0,300.0,South Korea,402340,273.3333,,1,Overvalued,,Technology,technology,"{'trend': [5439319.0, 5154044.0, 6900016.0, 8822390.0]}",Equity,KR7402340004,,,,,,2021-11-30T06:00:00.000,,,KRW,,,,,0,,,,,,,0,,,,20.1504,3.0,2025-12-03T06:00:00.000,Medium,,,1,Quan,ST,KOR,South Korean Won,8822389.89,False
41,Hana Financial Group Inc,0P0000C3IQ,0P0000C3IQ,E,0.44238,146494.0,8791182.0,868.0,South Korea,086790,62.065,,3,Fairly Valued,,Financial Services,financialService,"{'trend': [9507678.0, 8839700.0, 9050702.0, 8791182.0]}",Equity,KR7086790003,,,,,,2013-05-31T05:00:00.000,,,KRW,,,,,0,,,,,,,0,,,,21.0502,3.0,2025-12-03T06:00:00.000,Medium,,,3,Quan,ST,KOR,South Korean Won,8791182.31,False
42,POSCO Holdings Inc,0P0000BLAA,0P0000BLAA,E,0.43975,40099.0,8738894.0,236.0,South Korea,005490,20.0364,,3,Fairly Valued,,Basic Materials,basicMaterials,"{'trend': [8738905.0, 7811025.0, 7841622.0, 8738894.0]}",Equity,KR7005490008,,,,,,2013-05-31T05:00:00.000,,,KRW,,,,,0,,,,,,,0,,,,23.2361,3.0,2025-12-03T06:00:00.000,Medium,,,3,Quan,ST,KOR,South Korean Won,8738894.19,False
43,Samsung BioLogics Co Ltd,0P000196OG,0P000196OG,E,0.42374,9826.0,8420808.0,3474.0,South Korea,,,,,,,,,"{'trend': [7790916.0, 7063341.0, 6939669.0, 8420808.0]}",Equity,KR7207940008,,,,,,2017-06-30T05:00:00.000,,,KRW,,,,,0,,,,,,,0,,,,15.1695,4.0,2025-12-03T06:00:00.000,Low,,,,,ST,KOR,South Korean Won,8420807.86,
44,HD Korea Shipbuilding & Offshore Engineering,0P0000APQT,0P0000APQT,E,0.40383,24122.0,8025147.0,139.0,South Korea,009540,118.0,11.5075,1,Overvalued,,Industrials,industrials,"{'trend': [6436268.0, 7042004.0, 7025418.0, 8025147.0]}",Equity,KR7009540006,,,,,,2013-05-31T05:00:00.000,,,KRW,,,,,0,,,,,,,0,,,,23.0813,3.0,2025-12-03T06:00:00.000,Medium,,,1,Quan,ST,KOR,South Korean Won,8025146.87,False
45,Xero Ltd,0P0000XARV,0P0000XARV,E,0.39708,83129.0,7890958.0,480.0,Australia,XRO,-34.0117,106.383,2,Overvalued,Narrow,Technology,technology,"{'trend': [9974770.0, 8883140.0, 8627160.0, 7890958.0]}",Equity,NZXROE0001S2,,,,,,2014-03-31T05:00:00.000,,,AUD,,,,,0,,,,,,,0,,,,16.8949,4.0,2025-12-03T06:00:00.000,Low,,,4,Qual,ST,NZL,Australian Dollar,7890957.56,False
46,Evolution Mining Ltd,0P00006X20,0P00006X20,E,0.38213,1068143.0,7593961.0,6672.0,Australia,EVN,147.3282,18.7617,1,Overvalued,None,Basic Materials,basicMaterials,"{'trend': [5027425.0, 6036319.0, 7618795.0, 7593961.0]}",Equity,AU000000EVN4,,,,,,2018-09-30T05:00:00.000,,,AUD,,,,,0,,,,,,,0,,,,26.9664,3.0,2025-12-03T06:00:00.000,Medium,,,2,Qual,ST,AUS,Australian Dollar,7593961.19,False
47,Kakao Corp,0P0000AN5S,0P0000AN5S,E,0.38015,165335.0,7554524.0,1036.0,South Korea,035720,36.9977,50.7614,2,Overvalued,,Communication Services,communicationsServices,"{'trend': [7127835.0, 7416337.0, 6979238.0, 7554524.0]}",Equity,KR7035720002,,,,,,2013-05-31T05:00:00.000,,,KRW,,,,,0,,,,,,,0,,,,17.4499,4.0,2025-12-03T06:00:00.000,Low,,,2,Quan,ST,KOR,South Korean Won,7554524.3,False
48,Suncorp Group Ltd,0P00006WY9,0P00006WY9,E,0.37731,583776.0,7498155.0,3636.0,Australia,SUN,-2.1322,15.8983,3,Fairly Valued,None,Financial Services,financialService,"{'trend': [8101565.0, 8107209.0, 7789722.0, 7498155.0]}",Equity,AU000000SUN6,,,,,,2013-05-31T05:00:00.000,,,AUD,,,,,0,,,,,,,0,,,,20.0041,3.0,2025-12-03T06:00:00.000,Medium,,,3,Qual,ST,AUS,Australian Dollar,7498154.57,False
49,Scentre Group,0P0000RYFB,0P0000RYFB,ER,0.37647,2807856.0,7481323.0,17528.0,Australia,SCG,25.694,18.0505,3,Fairly Valued,Narrow,Real Estate,realEstate,"{'trend': [6982191.0, 7474025.0, 7545102.0, 7481323.0]}",Equity,AU000000SCG8,,,,,,2019-10-31T05:00:00.000,,,AUD,,,,,0,,,,,,,0,,,,9.3045,5.0,2025-12-03T06:00:00.000,Negligible,,,3,Qual,ST,AUS,Australian Dollar,7481322.73,False
50,Samsung SDI Co Ltd,0P0000BRYD,0P0000BRYD,E,0.37313,32809.0,7414984.0,204.0,South Korea,006400,24.004,250.0,3,Fairly Valued,None,Industrials,industrials,"{'trend': [4898179.0, 4882237.0, 4763925.0, 7414984.0]}",Equity,KR7006400006,,,,,,2013-05-31T05:00:00.000,,,KRW,,,,,0,,,,,,,0,,,,16.8179,4.0,2025-12-03T06:00:00.000,Low,,,3,Qual,ST,KOR,South Korean Won,7414983.68,False
51,Origin Energy Ltd,0P00006WRX,0P00006WRX,E,0.37272,923622.0,7406952.0,5752.0,Australia,ORG,17.433,18.0505,2,Overvalued,None,Utilities,utilities,"{'trend': [7150282.0, 7787047.0, 7603979.0, 7406952.0]}",Equity,AU000000ORG5,,,,,,2013-05-31T05:00:00.000,,,AUD,,,,,0,,,,,,,0,,,,33.3656,2.0,2025-12-03T06:00:00.000,High,,,2,Qual,ST,AUS,Australian Dollar,7406951.6,False
52,LG Energy Solution Ltd,0P0001OCZJ,0P0001OCZJ,E,0.37244,22294.0,7401342.0,140.0,South Korea,373220,10.136,-625.0,2,Overvalued,None,Industrials,industrials,"{'trend': [6342914.0, 5632760.0, 5486986.0, 7401342.0]}",Equity,KR7373220003,,,,,,2022-01-31T06:00:00.000,,,KRW,,,,,0,,,,,,,0,,,,22.3861,3.0,2025-12-03T06:00:00.000,Medium,,,2,Qual,ST,KOR,South Korean Won,7401341.99,False
53,CLP Holdings Ltd,0P00009RP0,0P00009RP0,E,0.36895,859500.0,7331882.0,6000.0,Hong Kong,00002,8.9862,15.1745,3,Fairly Valued,Narrow,Utilities,utilities,"{'trend': [7648427.0, 7238909.0, 7070083.0, 7331882.0]}",Equity,HK0002007356,,,,,,2013-05-31T05:00:00.000,,,HKD,,,,,0,,,,,,,0,,,,21.4116,3.0,2025-12-03T06:00:00.000,Medium,,,3,Qual,ST,HKG,Hong Kong Dollar,7331881.58,False
